input	score	concept_id	concept_name	concept_type
Acquired Immunodeficiency Syndrome Virus	694	C0021051	Immunodeficiency Syndrome (Immunologic Deficiency Syndromes)	Disease or Syndrome
Acquired Immunodeficiency Syndrome Virus	756	C0001175	Acquired Immuno-Deficiency Syndrome (Acquired Immunodeficiency Syndrome)	Disease or Syndrome
Acquired Kidney Disease	901	C0022658	Kidney disease (Kidney Diseases)	Disease or Syndrome
Acquired Kidney Disease	913	C0277564	Acquired disease	Disease or Syndrome
Acquired Kidney Disease	734	C0027697	Nephritides (Nephritis)	Disease or Syndrome
Acquired Kidney Disease	827	C0012634	Disease	Disease or Syndrome
Acquired Lymphedema	1000	C0024236	Acquired lymphedema (Lymphedema)	Disease or Syndrome
Acquired Melanocytic Nevi	988	C1302707	Acquired melanocytic naevus (Acquired melanocytic nevus)	Neoplastic Process
Acquired Melanocytic Nevi	827	C0027960	Nevi (Nevus)	Neoplastic Process
Acquired Melanocytic Nevi	884	C1456781	melanocytic naevus (Benign melanocytic nevus)	Neoplastic Process
Acquired Melanocytic Nevi	901	C0027962	Nevi, Melanocytic (Melanocytic nevus)	Neoplastic Process
Acquired Non-accommodative Esotropia	861	C0155336	Accommodative esotropia (Esotropia with accommodative compensation)	Disease or Syndrome
Acquired Non-accommodative Esotropia	902	C1444629	Acquired esotropia	Disease or Syndrome
Acquired Non-accommodative Esotropia	812	C0014877	Esotropia	Disease or Syndrome
Acquired Non-accommodative Esotropia	719	C0849772	crosseyed	Disease or Syndrome
Acquired Partially Accommodative Esotropia	901	C0155336	Accommodative esotropia (Esotropia with accommodative compensation)	Disease or Syndrome
Acquired Partially Accommodative Esotropia	1000	C0339630	Partially accommodative esotropia	Disease or Syndrome
Acquired Partially Accommodative Esotropia	734	C0849772	crosseyed	Disease or Syndrome
Acquired Partially Accommodative Esotropia	827	C0014877	Esotropia	Disease or Syndrome
Acral Lentiginous Malignant Melanoma	861	C0025202	Malignant Melanoma (melanoma)	Neoplastic Process
Acral Lentiginous Malignant Melanoma	861	C0151779	MELANOMA, MALIGNANT (Cutaneous Melanoma)	Neoplastic Process
Acral Lentiginous Malignant Melanoma	1000	C0346037	Acral Lentiginous Malignant Melanoma	Neoplastic Process
Acral Melanoma	861	C0025202	melanoma	Neoplastic Process
Acral/Lentiginous Melanoma	827	C0025202	melanoma	Neoplastic Process
Acral/Lentiginous Melanoma	1000	C0346037	Melanoma, acral lentiginous (Acral Lentiginous Malignant Melanoma)	Neoplastic Process
Acrochordon	1000	C0037293	Acrochordon (Skin tag)	Neoplastic Process
Acromegaly	1000	C0001206	Acromegaly	Disease or Syndrome
Acromioclavicular Joint Arthritis	734	C0018099	Gout	Disease or Syndrome
Acromioclavicular Joint Arthritis	827	C0003864	Arthritis	Disease or Syndrome
Acromioclavicular Joint Arthritis	827	C0003868	Articular gout (Arthritis, Gouty)	Disease or Syndrome
Actinic Cheilitis	861	C0007971	CHELITIS (Cheilitis)	Disease or Syndrome
Actinic Cheilitis	1000	C0267026	Actinic cheilitis	Disease or Syndrome
Actinic Keratoses	861	C0022593	Keratoses (Keratosis)	Disease or Syndrome
Actinic Keratoses	1000	C0022602	Actinic keratoses (Actinic keratosis)	Neoplastic Process
Actinic Keratoses	827	C0870082	Keratosis (Hyperkeratosis)	Disease or Syndrome
Actinic Keratosis	861	C0870082	Keratosis (Hyperkeratosis)	Disease or Syndrome
Actinic Keratosis	1000	C0022602	Actinic keratosis	Neoplastic Process
Actinic Keratosis	861	C0022593	Keratosis	Disease or Syndrome
Active Chronic Graft Versus Host Disease	799	C0012634	Disease	Disease or Syndrome
Active Chronic Graft Versus Host Disease	901	C0018133	Graft-Versus-Host Disease (Graft-vs-Host Disease)	Disease or Syndrome
Active Chronic Graft Versus Host Disease	876	C0008679	Chronic disease	Disease or Syndrome
Active Chronic Graft Versus Host Disease	947	C0867389	Chronic graft-versus-host disease	Disease or Syndrome
Active Photocoagulated Diabetic Retinopathy	812	C0035309	Retinopathy (Retinal Diseases)	Disease or Syndrome
Active Photocoagulated Diabetic Retinopathy	861	C0011884	Diabetic Retinopathy	Disease or Syndrome
Active Plaque Psoriasis	660	C0011389	Plaque (Dental Plaque)	Disease or Syndrome
Active Plaque Psoriasis	827	C0033860	Psoriasis	Disease or Syndrome
Active Plaque Psoriasis	901	C0406317	Plaque psoriasis (Chronic small plaque psoriasis)	Disease or Syndrome
Active Rheumatoid Arthritis	734	C0018099	Gout	Disease or Syndrome
Active Rheumatoid Arthritis	901	C0003873	Rheumatoid Arthritis	Disease or Syndrome
Active Rheumatoid Arthritis	827	C0003864	Arthritis	Disease or Syndrome
Active Solid Malignancy	827	C0006826	Malignancy (Malignant Neoplasms)	Neoplastic Process
Active Tuberculosis	1000	C0151332	Active tuberculosis	Disease or Syndrome
Active Tuberculosis	861	C0041296	Tuberculosis	Disease or Syndrome
Active Ulcerative Colitis	827	C0009319	Colitis	Disease or Syndrome
Active Ulcerative Colitis	901	C0009324	Ulcerative Colitis	Disease or Syndrome
Active Uveitis That is Not From an Infection.	1000	C0021311	Infection	Disease or Syndrome
Active Uveitis That is Not From an Infection.	861	C0042164	Uveitis	Disease or Syndrome
Active, Moderate to Severe Rheumatoid Arthritis	734	C0018099	Gout	Disease or Syndrome
Active, Moderate to Severe Rheumatoid Arthritis	901	C0003873	Rheumatoid Arthritis	Disease or Syndrome
Active, Moderate to Severe Rheumatoid Arthritis	827	C0003864	Arthritis	Disease or Syndrome
Activity/Exercise Induced Bronchospasm	812	C0006266	Bronchospasm (Bronchial Spasm)	Disease or Syndrome
Activity/Exercise Induced Bronchospasm	923	C0015263	Bronchospasm, Exercise-Induced	Disease or Syndrome
Activity/Exercise Induced Bronchospasm	861	C0239313	EXERCISE INDUCED (EXERTIONAL)	Sign or Symptom
Actue Coronary Syndromes	827	C0039082	Syndromes (Syndrome)	Disease or Syndrome
Acupuncture Analgesia	861	C0344307	Analgesia (Absence of pain sensation)	Sign or Symptom
Acure Respiratory Distress Syndrome (ARDS)	923	C1704437	Respiratory Distress Syndrome	Disease or Syndrome
Acure Respiratory Distress Syndrome (ARDS)	861	C0476273	Respiratory distress	Sign or Symptom
Acure Respiratory Distress Syndrome (ARDS)	923	C0035220	respiratory distress syndrome (Respiratory Distress Syndrome, Newborn)	Disease or Syndrome
Acure Respiratory Distress Syndrome (ARDS)	812	C0039082	Syndrome	Disease or Syndrome
Acute Abdomen	1000	C0000727	Abdomen, Acute	Sign or Symptom
Acute Adenoviral Conjunctivitis	827	C0009763	Conjunctivitis	Disease or Syndrome
Acute Adenoviral Conjunctivitis	913	C0155141	Acute conjunctivitis	Disease or Syndrome
Acute Adenoviral Keratoconjunctivitis	827	C0022573	Keratoconjunctivitis	Disease or Syndrome
Acute Adrenal Insufficiency	1000	C0151467	Acute adrenal insufficiency (Addisonian crisis)	Disease or Syndrome
Acute Adrenal Insufficiency	901	C0001623	Adrenal Insufficiency (Adrenal gland hypofunction)	Disease or Syndrome
Acute Adrenal Insufficiency	867	C0405580	adrenal insufficiencies (Adrenal cortical hypofunction)	Disease or Syndrome
Acute Agitated Patients	660	C0085631	Agitated (Agitation)	Sign or Symptom
Acute Alcohol Withdrawal	901	C0236663	Alcohol withdrawal (Alcohol withdrawal syndrome)	Disease or Syndrome
Acute Alcohol Withdrawal	1000	C0149821	ACUTE ALCOHOL WITHDRAWAL	Disease or Syndrome
Acute Alcohol Withdrawal Syndrome	923	C0236663	Alcohol withdrawal syndrome	Disease or Syndrome
Acute Alcohol Withdrawal Syndrome	812	C0039082	Syndrome	Disease or Syndrome
Acute Alcohol Withdrawal Syndrome	923	C0149821	ACUTE ALCOHOL WITHDRAWAL	Disease or Syndrome
Acute Allograft Rejection in Simultaneous Kidney/Pancreas Transplant Recipients	545	C0027697	Nephritides (Nephritis)	Disease or Syndrome
Acute and Chronic Non-radicular LBP	812	C0024031	LBP (Low Back Pain)	Sign or Symptom
Acute and Severe Myocardial Infarction	901	C0027051	Myocardial Infarction	Disease or Syndrome
Acute Anterior Myocardial Infarction	861	C0027051	Myocardial Infarction	Disease or Syndrome
Acute Anterior Myocardial Infarction	923	C0155626	Acute myocardial infarction	Disease or Syndrome
Acute Anterior Myocardial Infarction	1000	C2349195	Acute anterior myocardial infarction (Acute Anterior Wall Myocardial Infarction)	Disease or Syndrome
Acute Anterior Myocardial Infarction	923	C0340293	Anterior myocardial infarction	Disease or Syndrome
Acute Anterior Wall Myocardial Infarction	911	C0155626	Acute myocardial infarction	Disease or Syndrome
Acute Anterior Wall Myocardial Infarction	840	C0027051	Myocardial Infarction	Disease or Syndrome
Acute Anterior Wall Myocardial Infarction	937	C0340293	Anterior Wall Myocardial Infarction (Anterior myocardial infarction)	Disease or Syndrome
Acute Anterior Wall Myocardial Infarction	1000	C2349195	Acute Anterior Wall Myocardial Infarction	Disease or Syndrome
Acute Aortic Syndrome	827	C0039082	Syndrome	Disease or Syndrome
Acute Appendicitis	1000	C0085693	Acute appendicitis (Acute appendicitis NOS (disorder))	Disease or Syndrome
Acute Appendicitis	861	C0003615	Appendicitis	Disease or Syndrome
Acute Arthritis	861	C0003864	Arthritis	Disease or Syndrome
Acute Arthritis	953	C2062908	Acute gout	Disease or Syndrome
Acute Arthritis	768	C0018099	Gout	Disease or Syndrome
Acute Arthritis	1000	C0263678	Acute arthritis	Disease or Syndrome
Acute Asthma	861	C0004096	Asthma	Disease or Syndrome
Acute Asthma	1000	C0582415	Acute asthma	Disease or Syndrome
Acute Asthma Exacerbation	901	C0582415	Acute asthma	Disease or Syndrome
Acute Asthma Exacerbation	827	C0004096	Asthma	Disease or Syndrome
Acute Bacterial Conjunctivitis	827	C0009763	Conjunctivitis	Disease or Syndrome
Acute Bacterial Conjunctivitis	913	C0155141	Acute conjunctivitis	Disease or Syndrome
Acute Bacterial Conjunctivitis	901	C0009768	Bacterial conjunctivitis	Disease or Syndrome
Acute Bacterial Corneal Ulcers	906	C0339215	Bacterial corneal ulcer	Disease or Syndrome
Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB).	827	C0008677	Bronchitis, Chronic	Disease or Syndrome
Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB).	941	C0856695	Acute exacerbation of chronic bronchitis	Disease or Syndrome
Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB).	799	C0006277	Bronchitis	Disease or Syndrome
Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB).	904	C0339933	Acute bacterial bronchitis	Disease or Syndrome
Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB).	876	C0264344	bacterial bronchitis (Septic bronchitis)	Disease or Syndrome
Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB).	895	C0149514	Acute bronchitis	Disease or Syndrome
Acute Bacterial Gastroenteritis	827	C0017160	Gastroenteritis	Disease or Syndrome
Acute Bacterial Gastroenteritis	913	C0267446	Acute gastroenteritis	Disease or Syndrome
Acute Bacterial Gastroenteritis	901	C0558348	Bacterial gastroenteritis	Disease or Syndrome
Acute Bacterial Sinusitis	901	C1262006	bacterial sinusitis (sinusitis bacterial)	Disease or Syndrome
Acute Bacterial Sinusitis	913	C0149512	Acute sinusitis	Disease or Syndrome
Acute Bacterial Sinusitis	1000	C0275556	Acute bacterial sinusitis	Disease or Syndrome
Acute Bacterial Sinusitis	827	C0037199	Sinusitis	Disease or Syndrome
Acute Bacterial Sinusitis (ABS)	901	C1262006	bacterial sinusitis (sinusitis bacterial)	Disease or Syndrome
Acute Bacterial Sinusitis (ABS)	913	C0149512	Acute sinusitis	Disease or Syndrome
Acute Bacterial Sinusitis (ABS)	1000	C0275556	Acute bacterial sinusitis	Disease or Syndrome
Acute Bacterial Sinusitis (ABS)	827	C0037199	Sinusitis	Disease or Syndrome
Acute Bacterial Skin and Skin Structure Infections	827	C0021311	Infections (Infection)	Disease or Syndrome
Acute Bacterial Skin and Skin Structure Infections	913	C0037278	Skin infections (Skin Diseases, Infectious)	Disease or Syndrome
Acute Bacterial Skin and Skin-structure Infection(ABSSSI) Due to Staphylococcus Aureus (MSSA)	913	C0037278	Skin infection (Skin Diseases, Infectious)	Disease or Syndrome
Acute Bacterial Skin and Skin-structure Infection(ABSSSI) Due to Staphylococcus Aureus (MSSA)	827	C0021311	Infection	Disease or Syndrome
Acute Bleeding Esophageal Varices	812	C0042345	Varices (Varicosity)	Disease or Syndrome
Acute Bleeding Esophageal Varices	923	C0155789	Bleeding esophageal varices	Disease or Syndrome
Acute Blood Loss Anemia	923	C0948824	Blood loss anaemia (Anemia due to blood loss)	Disease or Syndrome
Acute Blood Loss Anemia	1000	C0154286	acute blood loss anemia (Iron deficiency anemia secondary to chronic blood loss)	Disease or Syndrome
Acute Blood Loss Anemia	902	C0740985	acute anemia (anemia acute)	Disease or Syndrome
Acute Blood Loss Anemia	1000	C0154298	Acute blood loss anaemia (Acute posthaemorrhagic anaemia)	Disease or Syndrome
Acute Blood Loss Anemia	812	C0002871	Anaemia (Anemia)	Disease or Syndrome
Acute Brainstem/Cerebellar Syndrome	812	C0039082	Syndrome	Disease or Syndrome
Acute Brainstem/Cerebellar Syndrome	861	C0007760	Cerebellar syndrome (Cerebellar Diseases)	Disease or Syndrome
Acute Brainstem/Cerebellar Syndrome	923	C1562722	Acute cerebellar syndrome	Disease or Syndrome
Acute Bronchial Obstruction, Asthma	1000	C0004096	Asthma	Disease or Syndrome
Acute Bronchitis	1000	C0149514	Acute bronchitis	Disease or Syndrome
Acute Bronchitis	861	C0006277	Bronchitis	Disease or Syndrome
Acute Cardiac Syndrome	827	C0039082	Syndrome	Disease or Syndrome
Acute Cardiogenic Pulmonary Edema	861	C0034063	Pulmonary Edema	Disease or Syndrome
Acute Cardiogenic Pulmonary Edema	902	C0333240	Acute edema	Sign or Symptom
Acute Cardiogenic Pulmonary Edema	1000	C0398350	Acute cardiogenic pulmonary edema (Acute cardiac pulmonary edema)	Disease or Syndrome
Acute Cardiogenic Pulmonary Edema	923	C0155919	Acute pulmonary edema	Disease or Syndrome
Acute Cardiovascular Disease	901	C0007222	Cardiovascular disease (Cardiovascular Diseases)	Disease or Syndrome
Acute Cardiovascular Disease	913	C0001314	Acute Disease	Disease or Syndrome
Acute Cardiovascular Disease	1000	C1290379	Acute cardiovascular disease (Acute disease of cardiovascular system)	Disease or Syndrome
Acute Cardiovascular Disease	827	C0012634	Disease	Disease or Syndrome
Acute Cerebral Ischemia	827	C0022116	Ischaemia (Ischemia)	Disease or Syndrome
Acute Cerebral Ischemia	901	C0917798	Cerebral Ischemia	Disease or Syndrome
Acute Cerebral Ischemia	901	C0007785	Cerebral Ischemia (Cerebral Infarction)	Disease or Syndrome
Acute Cerebrovascular Accident	901	C0038454	Cerebrovascular accident	Disease or Syndrome
Acute Cerebrovascular Accident	1000	C0751956	Cerebrovascular Accident, Acute (Acute Cerebrovascular Accidents)	Disease or Syndrome
Acute Chest Pain	859	C0024902	Breast Pain (Mastodynia)	Sign or Symptom
Acute Chest Pain	901	C0008031	Chest Pain	Sign or Symptom
Acute Chest Pain	859	C0553713	BREAST PAIN (BREAST PAIN FEMALE)	Sign or Symptom
Acute Chest Pain	1000	C0522051	Acute chest pain	Sign or Symptom
Acute Chest Pain	827	C0030193	Pain	Sign or Symptom
Acute Chest Pain	913	C0184567	Acute Pain (Acute onset pain)	Sign or Symptom
Acute Chest Syndrome	1000	C0742343	Acute Chest Syndrome	Disease or Syndrome
Acute Chest Syndrome	901	C0742342	chest syndrome	Disease or Syndrome
Acute Chest Syndrome	827	C0039082	Syndrome	Disease or Syndrome
Acute CHF	861	C0018802	CHF (Congestive heart failure)	Disease or Syndrome
Acute Cholecystitis	1000	C0149520	Cholecystitis, Acute	Disease or Syndrome
Acute Cholecystitis	861	C0008325	Cholecystitis	Disease or Syndrome
Acute CMV Hepatitis	827	C0019159	hepatitis (Hepatitis A)	Disease or Syndrome
Acute CMV Hepatitis	827	C0019158	Hepatitis	Disease or Syndrome
Acute CMV Hepatitis	913	C0267797	Acute hepatitis	Disease or Syndrome
Acute CMV Hepatitis	901	C0276252	cmv hepatitis (Cytomegalovirus hepatitis)	Disease or Syndrome
Acute Compartment Syndrome	827	C0039082	Syndrome	Disease or Syndrome
Acute Compartment Syndrome	901	C0009492	Compartment syndrome (Compartment syndromes)	Disease or Syndrome
Acute Congestive Heart Failure	861	C0018801	Heart failure	Disease or Syndrome
Acute Congestive Heart Failure	1000	C0264719	Acute congestive heart failure	Disease or Syndrome
Acute Congestive Heart Failure	923	C0264714	Acute heart failure	Disease or Syndrome
Acute Congestive Heart Failure	923	C0018802	Congestive heart failure	Disease or Syndrome
Acute Conjunctivitis	1000	C0155141	Acute conjunctivitis	Disease or Syndrome
Acute Conjunctivitis	861	C0009763	Conjunctivitis	Disease or Syndrome
Acute Coronary Disease	913	C0001314	Acute Disease	Disease or Syndrome
Acute Coronary Disease	901	C0010068	Coronary Disease (Coronary heart disease)	Disease or Syndrome
Acute Coronary Disease	827	C0012634	Disease	Disease or Syndrome
Acute Coronary Syndrome	1000	C0948089	Acute Coronary Syndrome	Disease or Syndrome
Acute Coronary Syndrome	827	C0039082	Syndrome	Disease or Syndrome
Acute Coronary Syndrome (ACS)	1000	C0948089	Acute Coronary Syndrome	Disease or Syndrome
Acute Coronary Syndrome (ACS)	827	C0039082	Syndrome	Disease or Syndrome
Acute Coronary Syndrome Medication Adherence	717	C0948089	Acute Coronary Syndrome	Disease or Syndrome
Acute Coronary Syndrome Medication Adherence	637	C0039082	Syndrome	Disease or Syndrome
Acute Coronary Syndromes	827	C0039082	Syndromes (Syndrome)	Disease or Syndrome
Acute Coronary Syndromes	1000	C0948089	Syndromes, Acute Coronary (Acute Coronary Syndrome)	Disease or Syndrome
Acute Coronary Thrombose	884	C0010072	Thromboses, Coronary (Coronary Thrombosis)	Disease or Syndrome
Acute Cough	861	C0010200	Cough (Coughing)	Sign or Symptom
Acute Decompensated Heart Failure	861	C0018802	Heart Failure (Congestive heart failure)	Disease or Syndrome
Acute Decompensated Heart Failure	861	C0018801	Heart failure	Disease or Syndrome
Acute Decompensated Heart Failure	923	C0264714	Acute heart failure	Disease or Syndrome
Acute Decompensated Heart Failure; Renal Dysfunction	861	C0018802	Heart Failure (Congestive heart failure)	Disease or Syndrome
Acute Decompensated Heart Failure; Renal Dysfunction	861	C0018801	Heart failure	Disease or Syndrome
Acute Decompensated Heart Failure; Renal Dysfunction	923	C0264714	Acute heart failure	Disease or Syndrome
Acute Decompensation of Chronic Heart Failure	901	C0018801	Heart failure	Disease or Syndrome
Acute Decompensation of Chronic Heart Failure	901	C0018802	Heart Failure (Congestive heart failure)	Disease or Syndrome
Acute Decompensation of Chronic Heart Failure	1000	C0264716	Chronic heart failure	Disease or Syndrome
Acute Deep Vein Thrombosis	923	C0340708	deep vein thrombosis (Deep vein thrombosis of lower limb)	Disease or Syndrome
Acute Deep Vein Thrombosis	923	C0149871	Deep Vein Thrombosis	Disease or Syndrome
Acute Deep Venous Thrombosis of the Lower Extremity	923	C0149871	Deep-Venous Thrombosis (Deep Vein Thrombosis)	Disease or Syndrome
Acute Deep Venous Thrombosis of the Lower Extremity	899	C0340708	deep vein thrombosis (Deep vein thrombosis of lower limb)	Disease or Syndrome
Acute Dental Pain	901	C0040460	dental pain (Toothache)	Sign or Symptom
Acute Dental Pain	827	C0030193	Pain	Sign or Symptom
Acute Dental Pain	913	C0184567	Acute Pain (Acute onset pain)	Sign or Symptom
Acute Diarrhea	861	C0011991	Diarrhea	Sign or Symptom
Acute Diarrhea	1000	C0740441	Acute diarrhea	Disease or Syndrome
Acute Diarrheal Disease	913	C0001314	Acute Disease	Disease or Syndrome
Acute Diarrheal Disease	901	C1290807	Diarrheal disease (Diarrheal disorder)	Disease or Syndrome
